,name,link,tel,email,website,addr,rank,ratings,review_num
558,Chez Cora,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4851910-Reviews-Chez_Cora-Montreal_Quebec.html,+1 514-285-2672,,Website,"1017 Sainte-Catherine Rue E, Montreal, Quebec H2L 2G4 Canada","#559 of 4,030 Restaurants in Montreal",4.0,72
559,Bistrorante Boccone,http://www.tripadvisor.ca/Restaurant_Review-g155032-d8956497-Reviews-Bistrorante_Boccone-Montreal_Quebec.html,+1 514-272-2886,mailto:bistrorante.boccone@gmail.com,Website,"170 Jean-Talon Est, Montreal, Quebec H2R 1S7 Canada","#560 of 4,030 Restaurants in Montreal",4.5,57
560,Pizzeria Melrose,http://www.tripadvisor.ca/Restaurant_Review-g155032-d8721051-Reviews-Pizzeria_Melrose-Montreal_Quebec.html,+1 438-385-6968,mailto:info@pizzeriamelrose.com,Website,"5779 Rue Sherbrooke O, Montreal, Quebec H4A 1X2 Canada","#561 of 4,030 Restaurants in Montreal",4.5,50
561,Restautant Coreen Luna,http://www.tripadvisor.ca/Restaurant_Review-g155032-d14927360-Reviews-Restautant_Coreen_Luna-Montreal_Quebec.html,+1 514-528-2813,,Website,"917 rue Rachel East 2 blocks from Lafontaine Parc, Montreal, Quebec H2J 2J2 Canada","#562 of 4,030 Restaurants in Montreal",5.0,23
562,Restaurant Santa Lucia,http://www.tripadvisor.ca/Restaurant_Review-g155032-d980516-Reviews-Restaurant_Santa_Lucia-Montreal_Quebec.html,+1 514-393-8623,,Website,"1264 Rue Stanley, Montreal, Quebec H3B 2S7 Canada","#563 of 4,030 Restaurants in Montreal",3.5,215
563,Pacini Berri-UQAM,http://www.tripadvisor.ca/Restaurant_Review-g155032-d772921-Reviews-Pacini_Berri_UQAM-Montreal_Quebec.html,+1 514-842-9139,mailto:berri-uqam@pacini.com,Website,"1262, Rue Saint-Denis, Montreal, Quebec H2X 3J6 Canada","#564 of 4,030 Restaurants in Montreal",4.0,149
564,Le Blumenthal,http://www.tripadvisor.ca/Restaurant_Review-g155032-d12459336-Reviews-Le_Blumenthal-Montreal_Quebec.html,+1 514-288-5992,,Website,"305 Rue Sainte Catherine O, Montreal, Quebec H2X 2A3 Canada","#565 of 4,030 Restaurants in Montreal",4.0,89
565,Muvbox Homard,http://www.tripadvisor.ca/Restaurant_Review-g155032-d3258084-Reviews-Muvbox_Homard-Montreal_Quebec.html,+1 514-285-0747,mailto:info@muvbox.ca,Website,"Quai des Eclusiers Old Port on corner of McGill and de la Commune, Montreal, Quebec H2Y 0B4 Canada","#566 of 4,030 Restaurants in Montreal",4.0,83
566,Omma,http://www.tripadvisor.ca/Restaurant_Review-g155032-d3337077-Reviews-Omma-Montreal_Quebec.html,+1 514-379-1183,,Website,"51 Rue Ontario Ouest, Montreal, Quebec H2X 1Y8 Canada","#567 of 4,030 Restaurants in Montreal",4.0,77
567,Albert Bistro,http://www.tripadvisor.ca/Restaurant_Review-g155032-d8288206-Reviews-Albert_Bistro-Montreal_Quebec.html,+1 514-439-0665,mailto:info@albertbistro.com,Website,"1035 Cote du Beaver Hall, Montreal, Quebec H2Z 1S5 Canada","#568 of 4,030 Restaurants in Montreal",4.5,50
568,Restaurant Mile-Ex,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4850066-Reviews-Restaurant_Mile_Ex-Montreal_Quebec.html,+1 514-272-7919,,Website,"6631 Rue Jeanne-Mance, Montreal, Quebec H2V 4L1 Canada","#569 of 4,030 Restaurants in Montreal",4.5,41
569,Harbin Dumplings,http://www.tripadvisor.ca/Restaurant_Review-g155032-d8811862-Reviews-Harbin_Dumplings-Montreal_Quebec.html,+1 438-380-5607,,Website,"4801, Boulevard St-Laurent, Montreal, Quebec H2T 1R6 Canada","#570 of 4,030 Restaurants in Montreal",4.0,54
570,Oh Dumplings,http://www.tripadvisor.ca/Restaurant_Review-g155032-d5293988-Reviews-Oh_Dumplings-Montreal_Quebec.html,+1 514-861-1628,,Website,"1050 Rue Clark, Montreal, Quebec H2Z 1K2 Canada","#571 of 4,030 Restaurants in Montreal",4.0,175
571,Essence,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2343659-Reviews-Essence-Montreal_Quebec.html,+1 514-845-2002,,Website,"2001 Rue University, Montreal, Quebec Canada","#572 of 4,030 Restaurants in Montreal",4.0,109
572,Les Street Monkeys,http://www.tripadvisor.ca/Restaurant_Review-g155032-d12635552-Reviews-Les_Street_Monkeys-Montreal_Quebec.html,+1 514-768-1818,,Website,"3625 Wellington, Montreal, Quebec H4G 1T9 Canada","#573 of 4,030 Restaurants in Montreal",4.0,48
573,Cafe Resonance,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4424445-Reviews-Cafe_Resonance-Montreal_Quebec.html,+1 514-360-9629,mailto:info@resonancecafe.com,Website,"5175a AVENUE DU PARC, Montreal, Quebec H2V 4G3 Canada","#574 of 4,030 Restaurants in Montreal",4.5,35
574,Pub L'Ile Noire,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2228055-Reviews-Pub_L_Ile_Noire-Montreal_Quebec.html,+1 514-982-0866,mailto:ile.noire@qc.aira.com,Website,"1649 St-Denis, Montreal, Quebec H2X 3K4 Canada","#575 of 4,030 Restaurants in Montreal",4.5,49
575,Poutineville Parc,http://www.tripadvisor.ca/Restaurant_Review-g155032-d11872591-Reviews-Poutineville_Parc-Montreal_Quebec.html,+1 514-903-8179,mailto:poutinevilleparc@gmail.com,Website,"5145 Ave de Parc, Montreal, Quebec H2V 4G3 Canada","#576 of 4,030 Restaurants in Montreal",4.5,39
576,La maison verte,http://www.tripadvisor.ca/Restaurant_Review-g155032-d847946-Reviews-La_maison_verte-Montreal_Quebec.html,+1 514-696-6308,,Website,"16981 boul. Gouin ouest, Montreal, Quebec H9H 1E6 Canada","#577 of 4,030 Restaurants in Montreal",4.0,105
577,Kirkland Resto Bar,http://www.tripadvisor.ca/Restaurant_Review-g155032-d12383544-Reviews-Kirkland_Resto_Bar-Montreal_Quebec.html,+1 438-797-7010,mailto:info@kirklandrestobar.ca,Website,"3874 Saint Charles corner Antoine-Faucon, Montreal, Quebec H9H 3C6 Canada","#578 of 4,030 Restaurants in Montreal",4.5,35
578,Acajou Br,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4699676-Reviews-Acajou_Br-Montreal_Quebec.html,+1 514-963-7064,,Website,"3425 A Rue St-Denis, Montreal, Quebec H2X 3L1 Canada","#579 of 4,030 Restaurants in Montreal",4.5,62
579,Beaufort,http://www.tripadvisor.ca/Restaurant_Review-g155032-d6133038-Reviews-Beaufort-Montreal_Quebec.html,+1 514-274-6969,mailto:jfgirard@beaufortcafe.com,Website,"414, Rue Saint-Zotique Est, Montreal, Quebec H2S 1L9 Canada","#580 of 4,030 Restaurants in Montreal",4.5,58
580,La Petite Mangue,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4139444-Reviews-La_Petite_Mangue-Montreal_Quebec.html,+1 514-288-8390,mailto:info@lapetitemangue.com,Website,"1922 Boulevard Des Laurentides Laval, Montreal, Quebec H7M 2Y5 Canada","#581 of 4,030 Restaurants in Montreal",4.0,83
581,Bocadillo,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2313358-Reviews-Bocadillo-Montreal_Quebec.html,+1 514-227-4041,mailto:restobocadillo@gmail.com,Website,"3677 Boulevard Saint Laurent, Montreal, Quebec H2X 2V5 Canada","#582 of 4,030 Restaurants in Montreal",4.5,78
582,Le roi du Smoked Meat,http://www.tripadvisor.ca/Restaurant_Review-g155032-d821097-Reviews-Le_roi_du_Smoked_Meat-Montreal_Quebec.html,+1 514-273-7566,,Website,"St-Hubert, Montreal, Quebec Canada","#583 of 4,030 Restaurants in Montreal",4.0,78
583,Elio Pizzeria,http://www.tripadvisor.ca/Restaurant_Review-g155032-d979302-Reviews-Elio_Pizzeria-Montreal_Quebec.html,+1 514-276-5341,,Website,"351 Rue De Bellechasse, Montreal, Quebec H2S 1X1 Canada","#584 of 4,030 Restaurants in Montreal",4.0,195
584,Brit & Chips,http://www.tripadvisor.ca/Restaurant_Review-g155032-d11703832-Reviews-Brit_Chips-Montreal_Quebec.html,+1 514-844-3474,,Website,"1390 Maisonneuve Blvd W, Montreal, Quebec H3G 0C8 Canada","#585 of 4,030 Restaurants in Montreal",4.0,52
585,Restaurant L'O,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1995156-Reviews-Restaurant_L_O-Montreal_Quebec.html,+1 514-871-2151,mailto:nicolasduquairoux@novotelmontreal.com,Website,"1180, rue de la Montagne, Montreal, Quebec H3G 1Z1 Canada","#586 of 4,030 Restaurants in Montreal",4.0,69
586,BarBounya,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4520153-Reviews-BarBounya-Montreal_Quebec.html,+1 514-439-8858,mailto:info@barbounya.com,Website,"234 avenue Laurier Ouest, Montreal, Quebec H2T 2N8 Canada","#587 of 4,030 Restaurants in Montreal",4.0,115
587,Henri Brasserie Francaise,http://www.tripadvisor.ca/Restaurant_Review-g155032-d15362849-Reviews-Henri_Brasserie_Francaise-Montreal_Quebec.html,+1 514-544-3674,,Website,"1240 Phillips Square Street Hotel Birks, Montreal, Quebec H3B 3H4 Canada","#588 of 4,030 Restaurants in Montreal",4.0,108
588,Burger de Ville,http://www.tripadvisor.ca/Restaurant_Review-g155032-d5093274-Reviews-Burger_de_Ville-Montreal_Quebec.html,+1 514-507-5050,mailto:burgerdeville@live.ca,Website,"5282 Saint Laurent Blvd., Montreal, Quebec H2T 1S1 Canada","#589 of 4,030 Restaurants in Montreal",4.5,60
589,Brasserie Saint-Denis,http://www.tripadvisor.ca/Restaurant_Review-g155032-d702013-Reviews-Brasserie_Saint_Denis-Montreal_Quebec.html,+1 514-844-0394,mailto:info@bieresetcompagnie.ca,Website,"4350 St Denis Corner Marie-Anne, Montreal, Quebec H2J 2L1 Canada","#590 of 4,030 Restaurants in Montreal",4.0,120
590,L'Escalier,http://www.tripadvisor.ca/Restaurant_Review-g155032-d3759097-Reviews-L_Escalier-Montreal_Quebec.html,+1 514-419-6609,,Website,"552, Sainte-Catherine Est 2nd Floor, Montreal, Quebec H2L 2E1 Canada","#591 of 4,030 Restaurants in Montreal",4.0,62
591,Noren,http://www.tripadvisor.ca/Restaurant_Review-g155032-d10499499-Reviews-Noren-Montreal_Quebec.html,+1 514-397-1141,,Website,"77 Rue Rachel Ouest, Montreal, Quebec H2W 1G2 Canada","#592 of 4,030 Restaurants in Montreal",5.0,25
592,Icehouse,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2092055-Reviews-Icehouse-Montreal_Quebec.html,+1 514-439-6691,,Website,"51 Roy East, Montreal, Quebec H2W 2S3 Canada","#593 of 4,030 Restaurants in Montreal",4.0,153
593,Escondite,http://www.tripadvisor.ca/Restaurant_Review-g155032-d13073692-Reviews-Escondite-Montreal_Quebec.html,+1 514-375-5945,mailto:management@escondite.ca,Website,"1224, Rue Drummond, Montreal, Quebec H3G 1V7 Canada","#594 of 4,030 Restaurants in Montreal",4.5,37
594,Melisse,http://www.tripadvisor.ca/Restaurant_Review-g155032-d12718867-Reviews-Melisse-Montreal_Quebec.html,+1 514-379-3794,,Website,"719 William street, Montreal, Quebec H3C 1N8 Canada","#595 of 4,030 Restaurants in Montreal",4.5,48
595,McKibbins Irish Pub,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4214335-Reviews-McKibbins_Irish_Pub-Montreal_Quebec.html,+1 514-282-1580,mailto:info@mckibbinsirishpub.com,Website,"3515 Boulevard Saint-Laurent, Montreal, Quebec H2X 2T6 Canada","#596 of 4,030 Restaurants in Montreal",4.0,139
596,Keste,http://www.tripadvisor.ca/Restaurant_Review-g155032-d8411936-Reviews-Keste-Montreal_Quebec.html,+1 514-509-1341,mailto:kestemtl@gmail.com,Website,"275 Fairmount Ouest, Montreal, Quebec H2V 0A1 Canada","#597 of 4,030 Restaurants in Montreal",4.0,82
597,Marathon Souvlaki,http://www.tripadvisor.ca/Restaurant_Review-g155032-d783757-Reviews-Marathon_Souvlaki-Montreal_Quebec.html,+1 514-731-6455,,Website,"5365 des Jockeys, Montreal, Quebec H4P 2T8 Canada","#598 of 4,030 Restaurants in Montreal",4.0,140
598,Eclipse,http://www.tripadvisor.ca/Restaurant_Review-g155032-d5775145-Reviews-Eclipse-Montreal_Quebec.html,+1 514-631-2411,,Website,"555 Avenue McMillan Sheraton Montreal Airport Hotel, Montreal, Quebec H9P 1B7 Canada","#599 of 4,030 Restaurants in Montreal",4.0,83
599,La Pizzaiolle (St-Denis),http://www.tripadvisor.ca/Restaurant_Review-g155032-d2173161-Reviews-La_Pizzaiolle_St_Denis-Montreal_Quebec.html,+1 514-499-9711,mailto:info@pizzaiolle.com,Website,"rue Saint-Denis 4801, Montreal, Quebec H2J 2L7 Canada","#600 of 4,030 Restaurants in Montreal",4.0,68
600,Nippori Sushi,http://www.tripadvisor.ca/Restaurant_Review-g155032-d3637802-Reviews-Nippori_Sushi-Montreal_Quebec.html,+1 514-355-2000,,Website,"7790 Shrebrooke street, Montreal, Quebec H1L 1A5 Canada","#601 of 4,030 Restaurants in Montreal",4.5,32
601,Parma Cafe,http://www.tripadvisor.ca/Restaurant_Review-g155032-d12120998-Reviews-Parma_Cafe-Montreal_Quebec.html,+1 514-879-0000,,Website,"1202 rue Bishop, Montreal, Quebec H3G 2E3 Canada","#602 of 4,030 Restaurants in Montreal",4.5,29
602,Inferno,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4272013-Reviews-Inferno-Montreal_Quebec.html,+1 514-274-0666,,Website,"6850 St Dominique, Montreal, Quebec H2S 3B2 Canada","#603 of 4,030 Restaurants in Montreal",4.0,85
603,Restaurant Oskar,http://www.tripadvisor.ca/Restaurant_Review-g155032-d3169679-Reviews-Restaurant_Oskar-Montreal_Quebec.html,,,,,,,
604,Le Canal Restaurant Poissonerie,http://www.tripadvisor.ca/Restaurant_Review-g155032-d14046791-Reviews-Le_Canal_Restaurant_Poissonerie-Montreal_Quebec.html,+1 514-626-5757,mailto:restaurantlecanal@gamil.com,Website,"4945 Boul. Saint Jean, Montreal, Quebec H9H 2A9 Canada","#605 of 4,030 Restaurants in Montreal",4.5,24
605,Le Pourvoyeur,http://www.tripadvisor.ca/Restaurant_Review-g155032-d8323996-Reviews-Le_Pourvoyeur-Montreal_Quebec.html,+1 514-277-5858,,Website,"184 Jean-Talon Est, Montreal, Quebec H2R 1S7 Canada","#606 of 4,030 Restaurants in Montreal",4.0,85
606,Le Millen,http://www.tripadvisor.ca/Restaurant_Review-g155032-d10386680-Reviews-Le_Millen-Montreal_Quebec.html,+1 438-221-4772,,Website,"1185, rue Fleury E, Montreal, Quebec H2C 1P9 Canada","#607 of 4,030 Restaurants in Montreal",4.5,44
607,Rebel Brasserie Urbaine,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4453781-Reviews-Rebel_Brasserie_Urbaine-Montreal_Quebec.html,+1 514-529-9624,,Website,"1470, rue Sainte-Catherine E., Montreal, Quebec H2L 2J1 Canada","#608 of 4,030 Restaurants in Montreal",4.0,115
608,Amigo,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4348569-Reviews-Amigo-Montreal_Quebec.html,+1 514-393-8998,,Website,"1027 Boulevard Saint-Laurent 2nd Floor, Montreal, Quebec H2Z 1J4 Canada","#609 of 4,030 Restaurants in Montreal",4.0,57
609,Thazard,http://www.tripadvisor.ca/Restaurant_Review-g155032-d7285604-Reviews-Thazard-Montreal_Quebec.html,+1 514-802-8899,mailto:info@thazardmtl.com,Website,"5329 Boulevard Saint-Laurent, Montreal, Quebec H2T 1S5 Canada","#610 of 4,030 Restaurants in Montreal",4.0,58
610,Restaurant Le Bourlingueur,http://www.tripadvisor.ca/Restaurant_Review-g155032-d706046-Reviews-Restaurant_Le_Bourlingueur-Montreal_Quebec.html,+1 514-845-3646,,Website,"363, Saint Francois Xavier Coin Saint Paul, Montreal, Quebec H2Y 3P9 Canada","#611 of 4,030 Restaurants in Montreal",4.0,252
611,M Cafe,http://www.tripadvisor.ca/Restaurant_Review-g155032-d3246734-Reviews-M_Cafe-Montreal_Quebec.html,+1 514-842-8825,,Website,"1458 Rue De La Montagne, Montreal, Quebec H3G 1Z5 Canada","#612 of 4,030 Restaurants in Montreal",4.0,113
612,Fung Shing,http://www.tripadvisor.ca/Restaurant_Review-g155032-d684814-Reviews-Fung_Shing-Montreal_Quebec.html,+1 514-866-0469,,Website,"1102 St Laurent, Montreal, Quebec Canada","#613 of 4,030 Restaurants in Montreal",4.0,92
613,Ristorante Pomodoro,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1514629-Reviews-Ristorante_Pomodoro-Montreal_Quebec.html,+1 514-667-3867,mailto:info@ristorantepomodoro.com,Website,"6834 Boulevard Saint-Laurent, Montreal, Quebec H2S 3C7 Canada","#614 of 4,030 Restaurants in Montreal",4.0,123
614,Palais d'Ajit,http://www.tripadvisor.ca/Restaurant_Review-g155032-d7389643-Reviews-Palais_d_Ajit-Montreal_Quebec.html,+1 514-766-6111,,Website,"4801 Avenue Verdun Verdun, Montreal, Quebec H4G 2W4 Canada","#615 of 4,030 Restaurants in Montreal",4.5,53
615,Melrose Resto Bar,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4544604-Reviews-Melrose_Resto_Bar-Montreal_Quebec.html,+1 514-508-4227,mailto:melroserestaurant@yahoo.ca,Website,"6548 Boul. St.Laurent, Montreal, Quebec H2S 3C6 Canada","#616 of 4,030 Restaurants in Montreal",4.5,66
616,Les Tre Marie,http://www.tripadvisor.ca/Restaurant_Review-g155032-d706271-Reviews-Les_Tre_Marie-Montreal_Quebec.html,+1 514-277-9859,,Website,"6934 Clark, Montreal, Quebec H2S 3G2 Canada","#617 of 4,030 Restaurants in Montreal",4.0,91
617,GURU Bistro indien,http://www.tripadvisor.ca/Restaurant_Review-g155032-d8581669-Reviews-GURU_Bistro_indien-Montreal_Quebec.html,+1 514-844-9777,mailto:info@bistroguru.com,Website,"3464, St-Denis Street Carré St-Louis, Montreal, Quebec H2X 3L3 Canada","#618 of 4,030 Restaurants in Montreal",4.0,73
618,Kinton Ramen,http://www.tripadvisor.ca/Restaurant_Review-g155032-d11890757-Reviews-Kinton_Ramen-Montreal_Quebec.html,+1 438-387-6187,mailto:info@kintonramen.com,Website,"1211 Rue Bishop, Montreal, Quebec H3G 2E2 Canada","#619 of 4,030 Restaurants in Montreal",4.0,80
619,Zaika,http://www.tripadvisor.ca/Restaurant_Review-g155032-d12208554-Reviews-Zaika-Montreal_Quebec.html,+1 514-312-0144,mailto:mail@restaurantzaika.com,Website,"420 Rachel East, Montreal, Quebec H2J 2G7 Canada","#620 of 4,030 Restaurants in Montreal",4.5,49
620,Yuan,http://www.tripadvisor.ca/Restaurant_Review-g155032-d710786-Reviews-Yuan-Montreal_Quebec.html,+1 514-848-0513,,Website,"2115 Saint Denis St, Montreal, Quebec H2X 3K8 Canada","#621 of 4,030 Restaurants in Montreal",4.0,92
621,Restaurant Thai imagination,http://www.tripadvisor.ca/Restaurant_Review-g155032-d8564100-Reviews-Restaurant_Thai_imagination-Montreal_Quebec.html,+1 514-393-8882,mailto:thaiimagination501@gamil.com,Website,"501 Boulevard Rene-Levesque Ouest, Montreal, Quebec H2Z 1A8 Canada","#622 of 4,030 Restaurants in Montreal",4.5,57
622,Mckibbin's,http://www.tripadvisor.ca/Restaurant_Review-g155032-d706725-Reviews-Mckibbin_s-Montreal_Quebec.html,+1 514-288-1580,mailto:info@mckibbinsirishpub.com,Website,"1426 Bishop, Montreal, Quebec H3G 2E6 Canada","#623 of 4,030 Restaurants in Montreal",4.0,127
623,Frite Alors,http://www.tripadvisor.ca/Restaurant_Review-g155032-d704423-Reviews-Frite_Alors-Montreal_Quebec.html,+1 514-508-0609,,Website,"680 Rue Sainte-Catherine Ouest, Montreal, Quebec H3B 1C2 Canada","#624 of 4,030 Restaurants in Montreal",3.5,288
624,Anticafe Montreal - Place Des Arts,http://www.tripadvisor.ca/Restaurant_Review-g155032-d13832721-Reviews-Anticafe_Montreal_Place_Des_Arts-Montreal_Quebec.html,+1 514-500-9045,mailto:montrealanticafe@gmail.com,Website,"294 St. Catherine W, Montreal, Quebec H2X 2A1 Canada","#625 of 4,030 Restaurants in Montreal",5.0,21
625,Lola Rosa Place-des-Arts,http://www.tripadvisor.ca/Restaurant_Review-g155032-d15200685-Reviews-Lola_Rosa_Place_des_Arts-Montreal_Quebec.html,+1 514-543-0613,,Website,"276 Sainte Catherine Ouest, Montreal, Quebec H2X 2A1 Canada","#626 of 4,030 Restaurants in Montreal",4.5,34
626,La Maison de Mademoiselle Dumpling,http://www.tripadvisor.ca/Restaurant_Review-g155032-d13075746-Reviews-La_Maison_de_Mademoiselle_Dumpling-Montreal_Quebec.html,+1 438-800-6666,,Website,"6381 rue St-Hubert, Montreal, Quebec H2S 2L9 Canada","#627 of 4,030 Restaurants in Montreal",4.5,26
627,Grozepa Brasserie Urbaine,http://www.tripadvisor.ca/Restaurant_Review-g155032-d13307690-Reviews-Grozepa_Brasserie_Urbaine-Montreal_Quebec.html,+1 514-303-0335,mailto:info@grozepa.ca,Website,"5885 Avenue Papineau, Montreal, Quebec H2G 2W5 Canada","#628 of 4,030 Restaurants in Montreal",4.0,51
628,5 Saisons Sushi,http://www.tripadvisor.ca/Restaurant_Review-g155032-d3815960-Reviews-5_Saisons_Sushi-Montreal_Quebec.html,+1 514-489-4555,,Website,"5594 a Sherbrooke Quest H4A 1W3, Montreal, Quebec H4A 1W3 Canada","#629 of 4,030 Restaurants in Montreal",4.5,33
629,Malhi Sweets Indian Cuisine,http://www.tripadvisor.ca/Restaurant_Review-g155032-d706540-Reviews-Malhi_Sweets_Indian_Cuisine-Montreal_Quebec.html,+1 514-273-0407,mailto:malhi@malhisweets.ca,Website,"880 Rue Jarry O, Montreal, Quebec H3N 1G9 Canada","#630 of 4,030 Restaurants in Montreal",4.5,57
630,Le Roi du Taco,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4218439-Reviews-Le_Roi_du_Taco-Montreal_Quebec.html,+1 514-274-3336,,,"234 Rue Jean Talon East, Montreal, Quebec H2R 1S7 Canada","#631 of 4,030 Restaurants in Montreal",4.0,42
631,Broue Pub Brouhaha,http://www.tripadvisor.ca/Restaurant_Review-g155032-d3611808-Reviews-Broue_Pub_Brouhaha-Montreal_Quebec.html,+1 514-271-7571,mailto:info@brouepubbrouhaha.com,Website,"5860, avenue De Lorimier H2G 2N9, Montreal, Quebec H2G 2N9 Canada","#632 of 4,030 Restaurants in Montreal",4.5,45
632,Chez Ennio,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1600243-Reviews-Chez_Ennio-Montreal_Quebec.html,+1 514-933-8168,,,"1978 de Maisonneuve, Montreal, Quebec Canada","#633 of 4,030 Restaurants in Montreal",4.5,89
633,Petite Marche,http://www.tripadvisor.ca/Restaurant_Review-g155032-d787663-Reviews-Petite_Marche-Montreal_Quebec.html,+1 514-842-1994,,Website,"5035 Rue Saint-Denis, Montreal, Quebec H2J 2L9 Canada","#634 of 4,030 Restaurants in Montreal",4.0,86
634,Du Boucher A La Table,http://www.tripadvisor.ca/Restaurant_Review-g155032-d11765698-Reviews-Du_Boucher_A_La_Table-Montreal_Quebec.html,+1 514-321-2733,,Website,"4919 Jarry St, East, Montreal, Quebec H1T 1V6 Canada","#635 of 4,030 Restaurants in Montreal",4.0,62
635,Restaurant Nostos Souvlaki,http://www.tripadvisor.ca/Restaurant_Review-g155032-d896810-Reviews-Restaurant_Nostos_Souvlaki-Montreal_Quebec.html,,,Website,"9500 De l'Acadie Blvd, Montreal, Quebec H4N 1L8 Canada","#636 of 4,030 Restaurants in Montreal",4.0,108
636,Le Beaux-Arts Restaurant,http://www.tripadvisor.ca/Restaurant_Review-g155032-d702708-Reviews-Le_Beaux_Arts_Restaurant-Montreal_Quebec.html,+1 514-285-1600 ext. 308,mailto:beauxartsrestaurant@mbamtl.org,Website,"1384 Sherbrooke Street West Montreal Museum of Fine Arts, Montreal, Quebec H3G 1J5 Canada","#637 of 4,030 Restaurants in Montreal",4.0,68
637,Cho,http://www.tripadvisor.ca/Restaurant_Review-g155032-d7077851-Reviews-Cho-Montreal_Quebec.html,+1 514-507-3565,,Website,"4450 Notre Dame Ouest, Montreal, Quebec H4C 1S1 Canada","#638 of 4,030 Restaurants in Montreal",4.0,70
638,Restaurant Santa Barbara,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4849455-Reviews-Restaurant_Santa_Barbara-Montreal_Quebec.html,+1 514-273-4555,mailto:santabarbararestaurant@gmail.com,Website,"6696 Rue de Saint-Vallier, Montreal, Quebec H2S 2P7 Canada","#639 of 4,030 Restaurants in Montreal",4.0,55
639,La Tamalera Haute Cuisine de Rue Mexicaine,http://www.tripadvisor.ca/Restaurant_Review-g155032-d6738011-Reviews-La_Tamalera_Haute_Cuisine_de_Rue_Mexicaine-Montreal_Quebec.html,+1 438-381-5034,,Website,"226 Av. Fairmount o, Montreal, Quebec H2T 2M7 Canada","#640 of 4,030 Restaurants in Montreal",4.5,33
640,Labarake,http://www.tripadvisor.ca/Restaurant_Review-g155032-d6957544-Reviews-Labarake-Montreal_Quebec.html,+1 514-521-0777,mailto:dee@labarake.com,Website,"3165 Rachel E angle Midway, Montreal, Quebec H1W 1A3 Canada","#641 of 4,030 Restaurants in Montreal",4.0,144
641,L'Oeufrier,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2664018-Reviews-L_Oeufrier-Montreal_Quebec.html,+1 514-544-3843,,Website,"2017 Av du Mont-Royal E, Montreal, Quebec H2H 1J7 Canada","#642 of 4,030 Restaurants in Montreal",4.0,63
642,TABOO Cuisine Rebelle,http://www.tripadvisor.ca/Restaurant_Review-g155032-d13151706-Reviews-TABOO_Cuisine_Rebelle-Montreal_Quebec.html,+1 438-387-8833,mailto:info@restaurant-taboo.com,Website,"2025 rue Drummond, Montreal, Quebec H3G 1W6 Canada","#643 of 4,030 Restaurants in Montreal",4.0,56
643,Rotisserie Panama,http://www.tripadvisor.ca/Restaurant_Review-g155032-d708542-Reviews-Rotisserie_Panama-Montreal_Quebec.html,+1 514-276-5223,mailto:info@rotisseriepanama.com,Website,"789 Rue Jean-Talon O, Montreal, Quebec H3N 1S3 Canada","#644 of 4,030 Restaurants in Montreal",4.0,130
644,La Belle Tonkinoise,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4853328-Reviews-La_Belle_Tonkinoise-Montreal_Quebec.html,+1 514-448-8988,mailto:info@labelletonkinoise.ca,Website,"1380 Jean-Talon East, Montreal, Quebec H2E 1S2 Canada","#645 of 4,030 Restaurants in Montreal",4.5,24
645,Falafel Yoni,http://www.tripadvisor.ca/Restaurant_Review-g155032-d14046627-Reviews-Falafel_Yoni-Montreal_Quebec.html,+1 514-424-7767,mailto:falafelyoni@gmail.com,Website,"54 St-Viateur O., Montreal, Quebec H2T 2K8 Canada","#646 of 4,030 Restaurants in Montreal",4.5,23
646,Bar Henrietta,http://www.tripadvisor.ca/Restaurant_Review-g155032-d8844319-Reviews-Bar_Henrietta-Montreal_Quebec.html,+1 514-276-4282,,Website,"115 Avenue Laurier W, Montreal, Quebec H2T 2N6 Canada","#647 of 4,030 Restaurants in Montreal",4.5,44
647,Dilallo Burger Original,http://www.tripadvisor.ca/Restaurant_Review-g155032-d967074-Reviews-Dilallo_Burger_Original-Montreal_Quebec.html,+1 514-767-9921,,Website,"2851 Rue Allard, Montreal, Quebec H4E 2M1 Canada","#648 of 4,030 Restaurants in Montreal",4.0,51
